speaker_id,recording_id,geometry,unique_cutpoint_count,inside_phone_count,inside_phone_rate,depth_gt_20ms_count,depth_gt_50ms_count,depth_gt_100ms_count,depth_gt_20ms_rate,depth_gt_50ms_rate,depth_gt_100ms_rate,edge_occurrence_count,edge_inside_phone_count,edge_inside_phone_rate,edge_depth_gt_20ms_count,edge_depth_gt_50ms_count,edge_depth_gt_100ms_count,edge_depth_gt_20ms_rate,edge_depth_gt_50ms_rate,edge_depth_gt_100ms_rate,eligible_target_speech_sec,retained_target_speech_sec,speech_coverage,emitted_audio_sec,clip_count,mean_clip_duration_sec,geometry_fingerprint,vad_observation_count,vad_timestamp_sha256,vad_probability_sha256,candidate_cutpoint_sha256,selected_clip_sha256,workdir
s09,s0901b,current_A,73,6,0.0821917808219178,4,0,0,0.0547945205479452,0.0,0.0,76,6,0.07894736842105263,4,0,0,0.05263157894736842,0.0,0.0,273.5998189999996,162.82673899999958,0.5951273637355725,186.37600000000018,38,4.904631578947373,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,70935,b5cc7fd37de65e8e0ea5d9f09ce9e01bc9be27b37c47d7848a4d02644e583178,d901e31e450735a1a5fd8bf88ab62725c2783dd2bf581f2b44739128642ca68b,e962e53b2eb6f58038c1ad08cd4a1ff8f4a593ca220377720acb0608e9793f2f,ecf942924b81e653966961d59f510b9f077713c6ced7202d63fba36fc68c5085,/tmp/buckeye_slicer_current_A_zfkr_pjf
s09,s0901b,proper_D,69,6,0.08695652173913043,4,0,0,0.057971014492753624,0.0,0.0,72,6,0.08333333333333333,4,0,0,0.05555555555555555,0.0,0.0,273.5998189999996,153.89978499999967,0.5624995863027229,176.25599999999986,36,4.895999999999996,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,70935,aff9d5c6e25692a5c11abca748163bcead1726159ba45b59afbc0d64e1f5f7d0,a4c19c116c54982d0cd9b5fb946c7d38fca704f6861a7298ef9a3083a481e05d,3dd2ad6007fbf58f6dde502ae37c6167f29dfb019fbab1e91fe6c4a166fcf394,481d52b860ad4f1a807a65926f94d058de5aa65e3faf0a260c55ce61f3e1edfa,/tmp/buckeye_slicer_proper_D_9lns_yq8
s09,s0902a,current_A,86,15,0.1744186046511628,11,1,0,0.12790697674418605,0.011627906976744186,0.0,90,15,0.16666666666666666,11,1,0,0.12222222222222222,0.011111111111111112,0.0,284.41532999999964,207.7244470000001,0.7303560149166375,232.42400000000015,45,5.164977777777781,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,79567,6e4e3a7026db4a8ab19000798245755267ff0e68d58a038233d3b26d98dfaa78,477343dc71a0695ddbf89ed9387ee5eda8120c9d7248f25724c3d4a726589a94,514e93f35598da7658911d74c81442399878391218dd333f1f2c8641e06876d0,1fe5be97ab7d58add733096cabc31c2e68544514400a1403e07f4d07e7c72b9e,/tmp/buckeye_slicer_current_A_po7gtk7h
s09,s0902a,proper_D,79,16,0.20253164556962025,11,1,0,0.13924050632911392,0.012658227848101266,0.0,80,16,0.2,11,1,0,0.1375,0.0125,0.0,284.41532999999964,197.12761199999989,0.6930977032778091,221.36000000000004,40,5.534000000000001,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,79567,716c2af9b3720f08308d4f410b6eb281e327774da37e941dd360a8874c610be7,1b599608e8f5f4a82cff5697a4dceb183964d848d0e65d765477a99b2cc455a1,0919e4d3dc298f2dade2e382b6adeba810a7c1d7c4d1b82de67ea99d91aefc7a,c57b43f0136494e13b58dbcf234174b2cb1d4fd407a1c869733a7341e345e7ff,/tmp/buckeye_slicer_proper_D_omt8tfdz
s09,s0902b,current_A,70,10,0.14285714285714285,6,0,0,0.08571428571428572,0.0,0.0,74,10,0.13513513513513514,6,0,0,0.08108108108108109,0.0,0.0,254.63442900000018,175.4186140000001,0.6889037538596164,197.23200000000008,37,5.330594594594597,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,66675,104928c750349caa35ef60425d7db079b7f952cdedd3e3e434b754d6166a9c26,5a2f93829962381a49f06a85f64a57c45ebe203d8312a5335064ac33fc8fdad4,eb3bd582145fa18208b624d11de840fae00d600381329fae0b7656a9c253bd12,5b2db9330ae5e0c456c4cd723e63e9fc86d5e3b37fb76932c6c23c8e4a01d32a,/tmp/buckeye_slicer_current_A_phzyhxrh
s09,s0902b,proper_D,70,9,0.12857142857142856,6,0,0,0.08571428571428572,0.0,0.0,74,9,0.12162162162162163,6,0,0,0.08108108108108109,0.0,0.0,254.63442900000018,170.42160600000005,0.6692795105095546,192.52800000000002,37,5.20345945945946,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,66675,84d1165640be5f154b0224fe1e35baac5f2e37f05019891552110a400a346021,f64ed244dbb79343f7fa4357fd79bb9dd29d75e78f8f7d9af210b4e8da8a19bc,bb34702cd68053e21b3bb03fed3b26155bc959243a24db3fd72924f45965424b,291e30684475e76db74a3f1fb5d98f8fcb5c16cbc7f9a1a772a830b578453243,/tmp/buckeye_slicer_proper_D_sy9iezbo
s09,s0903a,current_A,87,11,0.12643678160919541,5,2,0,0.05747126436781609,0.022988505747126436,0.0,92,13,0.14130434782608695,7,4,0,0.07608695652173914,0.043478260869565216,0.0,327.9295140000001,217.1623169999998,0.6622225439580279,243.18399999999997,46,5.286608695652173,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,75003,18bd8b33f7ffdfbec3c4b472b9ac9f9f603b519f4fc403cf031cac276a936e28,aaa2e56704bd1c0d8ca8c605148aee260585d40e6351c631d276e085267cadc4,fdba7b6aebd9f09368ee6c3cc516833cb7e403bb4fbcee2564383e37a886db96,0dce6d58c6512f98a1082329b09f1c0927a98ae3553fc1533776a077dda8c5b3,/tmp/buckeye_slicer_current_A_fi10x3qo
s09,s0903a,proper_D,84,5,0.05952380952380952,3,1,0,0.03571428571428571,0.011904761904761904,0.0,88,6,0.06818181818181818,4,2,0,0.045454545454545456,0.022727272727272728,0.0,327.9295140000001,201.83622799999995,0.6154866194812825,227.8960000000002,44,5.179454545454551,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,75003,0740f98f5ba88dd3f797a15add701cf6516014c6984c3361d2af9b1c2a6be01e,f8f6fa4a6b7260c9a44a8e0eda217f04dfcb6c46bd51baf87c0e7eb7fa460b57,ad2f933aab4448873c8d98367d27f856e6c781cce37f3f3c4c0f9f43f5287ded,fed6c7915635cb2c59c29bc3f180d813e0c9761556fbd81360927ff61e837349,/tmp/buckeye_slicer_proper_D_w1vw5eco
s09,s0903b,current_A,53,8,0.1509433962264151,4,1,0,0.07547169811320754,0.018867924528301886,0.0,56,9,0.16071428571428573,5,1,0,0.08928571428571429,0.017857142857142856,0.0,208.15898099999947,134.3418419999999,0.6453809552420908,147.7120000000001,28,5.275428571428575,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,69168,616caea4bc5ad1d395ce716b5178a286e678750013d4041d65dde38319da5c38,a07092280a3d657890b43109f5eb1e16bd8b47da74444f4d601b413533862f08,26d865c2bbde8450a377338f1ee402a7f8fdb672f6a0063c461aa13751e44943,d1627f3664ebac884e1ff6e479db8208597b66c87dc31a7f02d2e1ddcc7dfb13,/tmp/buckeye_slicer_current_A_b2mizgxt
s09,s0903b,proper_D,42,8,0.19047619047619047,4,1,0,0.09523809523809523,0.023809523809523808,0.0,44,9,0.20454545454545456,5,1,0,0.11363636363636363,0.022727272727272728,0.0,208.15898099999947,109.49112999999993,0.5259976267850783,121.58399999999995,22,5.526545454545452,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,69168,f866a5a720a7cce936f8f1bd2028ec99b3323287df98c378ad66eba7475527c2,b928976b5fac615ae3fddd3ae7f17bb723f659628b84eddf5bbf628bb570ffcb,fcc7bbdca129b6cefd85d852e09d291d6ea849f64efa2c87c90c726bfc9473aa,999939952629d12dc81a44cf37389e67c79510a521d1f6aa2c77bdf01cd2e89a,/tmp/buckeye_slicer_proper_D_xajkopey
s10,s1001a,current_A,96,7,0.07291666666666667,5,1,1,0.052083333333333336,0.010416666666666666,0.010416666666666666,106,9,0.08490566037735849,7,2,2,0.0660377358490566,0.018867924528301886,0.018867924528301886,338.27082600000017,278.35283799999996,0.8228697735819518,312.9599999999995,53,5.9049056603773495,72ea8093df3fb11222b7291a784e2272246d6349ad6d5da63900e79412997498,74376,107607e2ba1d76c3c39442d05d44a58a391926012b429e9dad3cdf40649f0d59,e257fcf45905c121693fa88fe5e9c14e97ac3c968c08b039848fda022c137c9c,6a2b12f27f39268a62b1f8677ba47dc05720bd6d2d01175102480b2de9225be2,922a9f6c27c3f3d7accec3b8be43802e5e6e1ddbf24dbc5223b4ccce8a20b5d0,/tmp/buckeye_slicer_current_A_ekg31s7x
s10,s1001a,proper_D,88,4,0.045454545454545456,3,1,1,0.03409090909090909,0.011363636363636364,0.011363636363636364,98,6,0.061224489795918366,5,2,2,0.05102040816326531,0.02040816326530612,0.02040816326530612,338.27082600000017,256.696094,0.7588478646988017,290.3759999999999,49,5.926040816326529,b35b56fbf50e01487bef7f59ef870fe839ea7b8d3f84afb9014d7c5503a3e4dc,74376,013ca51f4d846cb97fe46a30bd15eac2a3c853a0c979b09f573db657e38e1b7c,3ee5534c43c0e9eca8f754983e109fe12680b5f522905942d91d2f3d39829f64,6fa00241d9e8b090e2d7e738482c7d3a15db6247ffe396a7f2c3dd6316a31a24,65a553a20b640eee3be79e7b662b8d96f6bfb82d2b8c8d8e929ce28b42e20883,/tmp/buckeye_slicer_proper_D_ws2nsb5c
