geometry,speaker_id,recording_id,buffer_id,time_sec,depth_ms,gt_20ms,gt_50ms,gt_100ms
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000019,166.56,44.491,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000021,192.192,16.0,False,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000052,303.368,38.073,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000053,320.096,37.281,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000054,322.432,21.429,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000054,329.576,59.576,True,True,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000058,347.4,24.0,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000058,352.288,16.0,False,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000061,393.784,24.812,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000062,405.344,30.438,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000081,512.56,28.892,True,False,False
quiet_run_score,s01,s0102b,s01_s0102b_raw_nemo_buffer_000084,537.896,8.0,False,False,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000002,19.76,12.982,False,False,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000006,55.816,8.0,False,False,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000035,156.384,12.577,False,False,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000038,163.416,13.307,False,False,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000048,217.208,76.125,True,True,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000060,273.24,8.0,False,False,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000060,281.152,0.5,False,False,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000067,329.224,121.0,True,True,True
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000068,337.608,1.895,False,False,False
current_A,s01,s0103a,s01_s0103a_raw_nemo_buffer_000070,345.648,32.0,True,False,False
